timestamp,pos_x,pos_y,pos_z,yaw,pitch,roll
0000000000,-0.373098173672865,0.7523633568526557,-0.09801919659915917,158.03877641173239,-87.74705390342227,-111.23585055264435
0000000001,-0.3633411623556138,0.15041906572940444,-0.15480784891756988,111.42173713479522,-88.78991523975176,-157.91971697148264
0000000002,-0.46817135399403265,0.9052962897321517,-0.11984546312703584,162.74548965113237,-86.87395982574868,-106.69733488390726
0000000003,-0.3822223179263112,0.243697590465755,-0.14943295023626246,130.6337890525531,-88.54560032551124,-138.9023724941575
0000000004,-0.39442314458252214,0.13891378553233605,-0.1283146818562212,127.78364893477999,-88.7706722442475,-141.69421928859973
0000000005,-0.35857943587369906,-0.019563710160689963,-0.14749042708976182,87.55096944240614,-88.85678113539691,178.2171670641369
0000000006,-0.2814648112563507,0.27557963397325264,-0.20517716415717158,109.62749278653459,-88.42498319971195,-159.7343854836348
0000000007,-0.18390780014369518,0.9695230417388419,-0.23066272225120815,149.35745120512902,-86.77800632350943,-119.94301029378047
0000000008,-0.21068635376182282,0.4854938771308198,-0.09846944588923268,136.94474110955613,-88.7527423591161,-132.33219235777352
0000000009,-0.3696443653001005,-0.06393288205738544,-0.12467732446390152,79.18891897292558,-89.02684321696749,169.9861488059828
0000000010,-0.27221853366052734,0.38375672128837696,-0.10516573146187543,133.59338139933456,-88.75624192172367,-135.60116516625362
0000000011,-0.23066677565524896,0.2953686857243661,-0.08635122173817535,136.87109559647823,-88.84816652370856,-132.57092863744958
0000000012,-0.5012285757103558,-0.14144854309076232,-0.07396055918098113,93.65543172012629,-89.29935400689318,-175.87338835383528
0000000013,-0.2840461051911571,-0.22719606910288087,-0.0521888953883803,32.77142960531785,-88.93134181454056,123.43818089116482
0000000014,-0.3472683176207943,-0.07014880806130805,-0.07605103082068848,85.6467197352219,-89.28080260816746,176.36905140915832
0000000015,-0.3005692870497269,0.051214509769054874,-0.04551785910346308,91.83060820569477,-89.4666763566293,-177.58538558672896
0000000016,-0.5098036064529301,-0.48315013319972355,-0.05182812319532946,24.00187381139918,-88.57889721419069,114.59502297847445
0000000017,-0.45866828146595184,-0.03538100846057659,-0.06959766743520242,114.3553836644481,-89.26912601671806,-154.82669929745958
0000000018,-0.36700518072233324,0.04497074701181434,-0.009725955644946563,110.7055556877465,-89.5871229325312,-158.55040426462017
0000000019,-0.29006031232877755,0.005904933259798633,-0.10682533789338271,92.68020037605766,-89.09547554490433,-176.4499749963871
0000000020,-0.33690864066653786,0.06851371930253891,0.029922832781022958,163.477405347232,-89.47730826881649,-105.57091673696573
0000000021,-0.2369045291004364,0.2507280755564647,-0.03244155798474609,141.27032842305772,-89.1893932435447,-128.07501001451604
0000000022,-0.3924217476501758,0.031442405330235214,-0.0727083857535244,117.57892866182854,-89.21132878806375,-151.8251819624873
0000000023,-0.285574647258317,0.21994661312856595,-0.11510843861130922,129.79095946155698,-88.72749282494803,-139.76977711411573
0000000024,-0.23516624933605604,0.1288826632493878,-0.043190162836840906,109.6046537461506,-89.39930276593871,-159.70220956333662
